"No.","Time","Source","Destination","Protocol","Length","Info"
"251","5.852241092","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"252","5.935021167","fe80::3d6e:456a:feb8:68d2","ff02::1:2","DHCPv6","145","Solicit XID: 0x8a068b CID: 000100011f006103ec8eb5431882 "
"253","5.940621501","AsustekC_58:df:07","Broadcast","ARP","60","Who has 10.43.0.1? Tell 10.43.2.101"
"254","5.952319051","10.43.1.187","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"255","5.955470233","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"256","5.956138976","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"257","6.000860550","10.43.2.66","239.192.152.143","LSD","178",""
"258","6.000866040","10.43.2.66","239.192.152.143","LSD","178",""
"259","6.000911181","fe80::c578:8270:d669:354f","ff15::efc0:988f","UDP","200","57098  >  6771 Len=138"
"260","6.001010941","fe80::c578:8270:d669:354f","ff15::efc0:988f","UDP","200","6771  >  6771 Len=138"
"261","6.059580197","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"262","6.060157945","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"263","6.167647017","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"264","6.169426021","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"265","6.174924054","10.43.2.214","10.43.7.255","NBNS","92","Name query NB WPAD<00>"
"266","6.176647846","fe80::954d:f7f1:8707:5987","ff02::1:3","LLMNR","84","Standard query 0x97c0 A wpad"
"267","6.177018658","10.43.2.214","224.0.0.252","LLMNR","64","Standard query 0x97c0 A wpad"
"268","6.177629435","fe80::954d:f7f1:8707:5987","ff02::1:3","LLMNR","84","Standard query 0x5379 AAAA wpad"
"269","6.177980744","10.43.2.214","224.0.0.252","LLMNR","64","Standard query 0x5379 AAAA wpad"
"270","6.279250527","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"271","6.281412384","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"272","6.289269056","10.43.1.95","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"273","6.332122430","fe80::d772:6bfa:ec4d:beda","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"274","6.332178518","10.43.7.88","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
